environment_id,simplified_edge_id,u,v,network_length,straight_distance,circuity,source_fragment_count,source_shape_provenance
38,env38_simplified_edge_00066,env38_topology_location_0111,env38_topology_location_0121,83.34757158866859,78.72789320636342,1.058679055086562,3,"[""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474""]"
38,env38_simplified_edge_00067,env38_topology_location_0112,env38_topology_location_0113,1.7572326348784184,1.757232634878411,1.0000000000000042,1,"[""env38_shape_4330855547524397474""]"
38,env38_simplified_edge_00068,env38_topology_location_0112,env38_topology_location_0116,1.6083989361298638,1.6083989361300226,0.9999999999999013,1,"[""env38_shape_4330855546755831596""]"
38,env38_simplified_edge_00069,env38_topology_location_0116,env38_topology_location_0135,61.5956262948304,59.27812953667144,1.0390953084429777,3,"[""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00070,env38_topology_location_0116,env38_topology_location_0127,38.00336890726708,37.78445674677205,1.0057937093541442,1,"[""env38_shape_4330855546755831596""]"
38,env38_simplified_edge_00071,env38_topology_location_0121,env38_topology_location_0142,49.792918220070135,49.423107972031254,1.0074825372829277,2,"[""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474""]"
38,env38_simplified_edge_00072,env38_topology_location_0124,env38_topology_location_0127,77.05189196268117,74.3395300482979,1.0364861321106156,2,"[""env38_shape_4330855546755831596"",""env38_shape_4330855546755831596""]"
38,env38_simplified_edge_00073,env38_topology_location_0124,env38_topology_location_0136,35.84061284063316,35.8216564382443,1.0005291883255467,3,"[""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00074,env38_topology_location_0127,env38_topology_location_0134,31.507386939702087,31.436045493778785,1.0022694154052367,1,"[""env38_shape_4330855547529842337""]"
38,env38_simplified_edge_00075,env38_topology_location_0135,env38_topology_location_0136,134.27643628264923,134.27643628264923,1.0,1,"[""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00076,env38_topology_location_0135,env38_topology_location_0142,178.826058952312,178.77546075563495,1.0002830265208837,2,"[""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00077,env38_topology_location_0136,env38_topology_location_0137,70.5284962598805,70.52849625988249,0.9999999999999718,1,"[""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00078,env38_topology_location_0136,env38_topology_location_0146,49.91529546418303,49.72166425504055,1.0038943026554636,2,"[""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00079,env38_topology_location_0137,env38_topology_location_0138,0.4413891758814781,0.44138917588255283,0.9999999999975651,1,"[""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00080,env38_topology_location_0137,env38_topology_location_0139,44.80329167439527,44.80329167439328,1.0000000000000444,1,"[""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00081,env38_topology_location_0140,env38_topology_location_0141,58.66341372700983,58.66341372700487,1.0000000000000846,1,"[""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00082,env38_topology_location_0141,env38_topology_location_0142,40.97263719813388,40.972637198138585,0.9999999999998852,1,"[""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00083,env38_topology_location_0141,env38_topology_location_0147,38.799082940213296,38.79908294021314,1.000000000000004,1,"[""env38_shape_4330855547829185599""]"
38,env38_simplified_edge_00084,env38_topology_location_0142,env38_topology_location_0145,37.996254619622036,37.99625461962198,1.0000000000000016,1,"[""env38_shape_4330855547524397474""]"
39,env39_simplified_edge_00001,env39_topology_location_0001,env39_topology_location_0003,37.91824594955883,37.91824595551482,0.9999999998429255,1,"[""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00002,env39_topology_location_0002,env39_topology_location_0003,0.09984333824298665,0.09984333819449714,1.000000000485656,1,"[""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00003,env39_topology_location_0003,env39_topology_location_0004,111.19478172843165,111.1947817284801,0.9999999999995643,1,"[""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00004,env39_topology_location_0003,env39_topology_location_0009,32.395754920915905,32.395754914959944,1.00000000018385,1,"[""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00005,env39_topology_location_0004,env39_topology_location_0007,109.44731035501,109.44731035501191,0.9999999999999826,1,"[""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00006,env39_topology_location_0004,env39_topology_location_0010,33.264611312352606,33.264611312350816,1.0000000000000537,1,"[""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00007,env39_topology_location_0005,env39_topology_location_0007,167.42834546122702,167.42761806838874,1.0000043445212128,1,"[""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00008,env39_topology_location_0006,env39_topology_location_0007,0.0573219415371643,0.05732194153715889,1.0000000000000944,1,"[""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00009,env39_topology_location_0007,env39_topology_location_0011,34.982383943055744,34.98238394305575,0.9999999999999998,1,"[""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00010,env39_topology_location_0008,env39_topology_location_0009,145.2018623357245,145.20126315307687,1.000004126566358,1,"[""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00011,env39_topology_location_0009,env39_topology_location_0010,111.11375986139662,111.11375986139667,0.9999999999999994,1,"[""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00012,env39_topology_location_0009,env39_topology_location_0015,79.00147520265287,79.0014752026528,1.0000000000000009,1,"[""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00013,env39_topology_location_0010,env39_topology_location_0011,109.44832264160264,109.44832264160257,1.0000000000000007,1,"[""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00014,env39_topology_location_0010,env39_topology_location_0028,190.76526100225658,190.76526100614245,0.9999999999796301,1,"[""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00015,env39_topology_location_0011,env39_topology_location_0031,298.747810146568,219.93951020236364,1.358318066052315,2,"[""env39_shape_3305298596651482022"",""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00016,env39_topology_location_0011,env39_topology_location_0029,189.70579480565237,189.70579480565178,1.000000000000003,1,"[""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00017,env39_topology_location_0014,env39_topology_location_0024,154.01478561291103,118.70256861915004,1.2974848598858721,2,"[""env39_shape_3305298596651482022"",""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00018,env39_topology_location_0014,env39_topology_location_0015,43.48008809081695,43.480088090816956,0.9999999999999999,1,"[""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00019,env39_topology_location_0014,env39_topology_location_0019,52.78787015298836,52.78787015298896,0.9999999999999887,1,"[""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00020,env39_topology_location_0015,env39_topology_location_0016,53.40163937390831,53.40163937390831,1.0,1,"[""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00021,env39_topology_location_0015,env39_topology_location_0020,52.5334311677211,52.53343117111265,0.9999999999354401,1,"[""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00022,env39_topology_location_0016,env39_topology_location_0017,54.03822856318028,54.03822856318028,1.0,1,"[""env39_shape_3305298596651482022""]"
39,env39_simplified_edge_00023,env39_topology_location_0016,env39_topology_location_0021,52.22403226391193,52.22403226391193,1.0,1,"[""env39_shape_3305298596651482022""]"
